rank,ticker,name,close_price,fair_value,upside_pct,star_rating,moat,uncertainty,sector,industry
141,F,Ford Motor Co,13.85,19,37.2,,None,,Consumer Cyclical,Auto Manufacturers
142,BXP,BXP Inc,67.04,91,35.7,,None,,Real Estate,REIT - Office
143,WMG,Warner Music Group Corp Ordinary Shares - Class A,28.75,39,35.7,,Narrow,,Communication Services,Entertainment
144,TM,Toyota Motor Corp ADR,174.75,237,35.6,,None,,Consumer Cyclical,Auto Manufacturers
145,HPE,Hewlett Packard Enterprise Co,47.24,64,35.5,,None,,Technology,Communication Equipment
146,BSY,Bentley Systems Inc Ordinary Shares - Class B,31.75,43,35.4,,Wide,,Technology,Software - Application
147,DHR,Danaher Corp,200.16,270,34.9,,Wide,,Healthcare,Diagnostics & Research
148,ESAB,ESAB Corp,86.72,117,34.9,,Narrow,,Industrials,Metal Fabrication
149,GEHC,GE HealthCare Technologies Inc Common Stock,65.31,88,34.7,,Wide,,Healthcare,Medical Devices
150,AS,Amer Sports Inc,34.15,46,34.7,3,Narrow,,Consumer Cyclical,Leisure
151,CNM,Core & Main Inc Class A,44.74,60,34.1,,Narrow,,Industrials,Industrial Distribution
152,LAD,Lithia Motors Inc Class A,317.96,426,34.0,,Narrow,,Consumer Cyclical,Auto & Truck Dealerships
153,MDT,Medtronic PLC,83.57,112,34.0,,Narrow,,Healthcare,Medical Devices
154,SBAC,SBA Communications Corp Class A,187.1,250,33.6,,Narrow,,Real Estate,REIT - Specialty
155,DPZ,Domino's Pizza Inc,309.85,412,33.0,,Wide,,Consumer Cyclical,Restaurants
156,HII,Huntington Ingalls Industries Inc,284.86,379,33.0,,Wide,,Industrials,Aerospace & Defense
157,TAP,Molson Coors Beverage Co Shs -B- Non-Voting,39.88,53,32.9,,None,,Consumer Defensive,Beverages - Brewers
158,AMT,American Tower Corp,169.5,225,32.7,4,Narrow,,Real Estate,REIT - Specialty
159,SSNC,SS&C Technologies Holdings Inc,68.06,90,32.2,,None,,Technology,Software - Application
160,NIO,NIO Inc ADR,4.93,6.5,31.8,,None,,Consumer Cyclical,Auto Manufacturers
161,CCL,Carnival Corporation Ltd,26.61,35,31.5,,Narrow,,Consumer Cyclical,Travel Services
162,ATR,AptarGroup Inc,124.89,164,31.3,,Narrow,,Healthcare,Medical Instruments & Supplies
163,KRC,Kilroy Realty Corp,38.96,51,30.9,,None,,Real Estate,REIT - Office
164,PFE,Pfizer Inc,24.48,32,30.7,,Narrow,,Healthcare,Drug Manufacturers - General
165,TEVA,Teva Pharmaceutical Industries Ltd ADR,32.18,42,30.5,,Narrow,,Healthcare,Drug Manufacturers - Specialty & Generic
166,DIS,The Walt Disney Co,96,125,30.2,,Wide,,Communication Services,Entertainment
167,HSY,The Hershey Co,175.24,228,30.1,,Wide,,Consumer Defensive,Confectioners
168,META,Meta Platforms Inc Class A,656.73,850,29.4,,Wide,,Communication Services,Internet Content & Information
169,FOX,Fox Corp Class B,50.22,65,29.4,,None,,Communication Services,Entertainment
170,ICE,Intercontinental Exchange Inc,137.67,178,29.3,,Wide,,Financial Services,Financial Data & Stock Exchanges
171,ECHO,EchoStar Corp Class A,92.9,120,29.2,,None,,Communication Services,Telecom Services
172,DSGX,The Descartes Systems Group Inc,72.76,94,29.2,,Narrow,,Technology,Software - Application
173,IQV,IQVIA Holdings Inc,207.55,268,29.1,,Narrow,,Healthcare,Diagnostics & Research
174,LVS,Las Vegas Sands Corp,45.9,59,28.5,,Narrow,,Consumer Cyclical,Resorts & Casinos
175,GIB,CGI Inc Class A,67.75,87,28.4,,Narrow,,Technology,Information Technology Services
176,TAL,TAL Education Group ADR,10.34,13.2,27.7,,None,,Consumer Defensive,Education & Training Services
177,PTC,PTC Inc,125.42,160,27.6,,Wide,,Technology,Software - Application
178,JHX,James Hardie Industries PLC,24.29,31,27.6,,Wide,,Basic Materials,Building Materials
179,TMUS,T-Mobile US Inc,188.41,240,27.4,,Narrow,,Communication Services,Telecom Services
180,NCLH,Norwegian Cruise Line Holdings Ltd,19.63,25,27.4,,Narrow,,Consumer Cyclical,Travel Services
181,CRWV,CoreWeave Inc Ordinary Shares - Class A,83.31,106,27.2,,None,,Technology,Software - Infrastructure
182,ONON,On Holding AG,37.92,48,26.6,,Narrow,,Consumer Cyclical,Footwear & Accessories
183,KT,KT Corp ADR,17.38,22,26.6,3,None,,Communication Services,Telecom Services
184,STZ,Constellation Brands Inc Class A,134.51,170,26.4,,Wide,,Consumer Defensive,Beverages - Brewers
185,ADSK,Autodesk Inc,212.22,268,26.3,,Wide,,Technology,Software - Application
186,INVH,Invitation Homes Inc,30.11,38,26.2,,None,,Real Estate,REIT - Residential
187,DVN,Devon Energy Corp,43.73,55,25.8,,Narrow,,Energy,Oil & Gas E&P
188,HAS,Hasbro Inc,79.53,100,25.7,,Narrow,,Consumer Cyclical,Leisure
189,NTR,Nutrien Ltd,67.6,85,25.7,,Narrow,,Basic Materials,Agricultural Inputs
190,MDLZ,Mondelez International Inc Class A,59.86,75,25.3,,Wide,,Consumer Defensive,Confectioners
191,T,AT&T Inc,21.55,27,25.3,,Narrow,,Communication Services,Telecom Services
192,FICO,Fair Isaac Corp,1278.25,1600,25.2,,Wide,,Technology,Software - Application
193,SMG,The Scotts Miracle Gro Co Class A,63.91,80,25.2,,Narrow,,Basic Materials,Agricultural Inputs
194,RTO,Rentokil Initial PLC ADR,29.59,37,25.0,,Narrow,,Industrials,Specialty Business Services
195,ABT,Abbott Laboratories,92.11,115,24.9,3,Narrow,,Healthcare,Medical Devices
196,MGA,Magna International Inc,64.07,80,24.9,,None,,Consumer Cyclical,Auto Parts
197,ALLE,Allegion PLC,136.36,170,24.7,3,Wide,,Industrials,Security & Protection Services
198,JD,JD.com Inc ADR,28.88,36,24.7,,Narrow,,Consumer Cyclical,Internet Retail
199,ALC,Alcon Inc,69,86,24.6,3,Narrow,,Healthcare,Medical Instruments & Supplies
200,AGCO,AGCO Corp,114.08,142,24.5,4,None,,Industrials,Farm & Heavy Construction Machinery
201,DD,DuPont de Nemours Inc,132.66,165,24.4,,Narrow,,Basic Materials,Specialty Chemicals
202,WH,Wyndham Hotels & Resorts Inc Ordinary Shares,77.19,96,24.4,,Narrow,,Consumer Cyclical,Lodging
203,LOW,Lowe's Companies Inc,207.7,258,24.2,,Wide,,Consumer Cyclical,Home Improvement Retail
204,RGEN,Repligen Corp,144.88,180,24.2,,Narrow,,Healthcare,Medical Instruments & Supplies
205,VZ,Verizon Communications Inc,42.68,53,24.2,,Narrow,,Communication Services,Telecom Services
206,PNR,Pentair PLC,76.53,95,24.1,,Narrow,,Industrials,Specialty Industrial Machinery
207,ZBRA,Zebra Technologies Corp Ordinary Shares - Class A,266.71,330,23.7,,Narrow,,Technology,Communication Equipment
208,RKT,Rocket Companies Inc Ordinary Shares Class A,13.91,17.2,23.7,,Narrow,,Financial Services,Mortgage Finance
209,GOOG,Alphabet Inc Class C,350.67,433,23.5,3,Wide,,Communication Services,Internet Content & Information
210,TW,Tradeweb Markets Inc,99.68,123,23.4,,Wide,,Financial Services,Capital Markets
211,THC,Tenet Healthcare Corp,194.81,240,23.2,,Narrow,,Healthcare,Medical Care Facilities
212,TNDM,Tandem Diabetes Care Inc,16.25,20,23.1,,None,,Healthcare,Medical Devices
213,LMT,Lockheed Martin Corp,520.68,640,22.9,,Wide,,Industrials,Aerospace & Defense
214,GOOGL,Alphabet Inc Class A,352.51,433,22.8,3,Wide,,Communication Services,Internet Content & Information
215,SOLS,Solstice Advanced Materials Inc,61.06,75,22.8,,Narrow,,Basic Materials,Specialty Chemicals
216,INFY,Infosys Ltd ADR,11.5,14.1,22.6,,Narrow,,Technology,Information Technology Services
217,SUI,Sun Communities Inc,120.8,148,22.5,,None,,Real Estate,REIT - Residential
218,AR,Antero Resources Corp,34.28,42,22.5,,None,,Energy,Oil & Gas E&P
219,SNN,Smith & Nephew PLC ADR,31.08,38,22.3,,Narrow,,Healthcare,Medical Devices
220,DOO,BRP Inc Shs Subord.Voting,58.99,72,22.1,,Wide,,Consumer Cyclical,Recreational Vehicles
221,ROP,Roper Technologies Inc,360.59,440,22.0,,None,,Technology,Software - Application
222,PEP,PepsiCo Inc,138.49,169,22.0,,Wide,,Consumer Defensive,Beverages - Non-Alcoholic
223,COO,The Cooper Companies Inc,71.32,87,22.0,,Narrow,,Healthcare,Medical Instruments & Supplies
224,SLG,SL Green Realty Corp,48.36,59,22.0,,None,,Real Estate,REIT - Office
225,ALGN,Align Technology Inc,180.59,220,21.8,4,Narrow,,Healthcare,Medical Instruments & Supplies
226,APH,Amphenol Corp Class A,155.99,190,21.8,4,Wide,,Technology,Electronic Components
227,TV,Grupo Televisa SAB ADR,2.71,3.3,21.8,,None,,Communication Services,Telecom Services
228,WYNN,Wynn Resorts Ltd,97.13,118,21.5,,Narrow,,Consumer Cyclical,Resorts & Casinos
229,DEO,Diageo PLC ADR,82.5,100,21.2,,Wide,,Consumer Defensive,Beverages - Wineries & Distilleries
230,EDU,New Oriental Education & Technology Group Inc ADR,48.66,59,21.2,,None,,Consumer Defensive,Education & Training Services
231,AN,AutoNation Inc,193.43,234,21.0,,Narrow,,Consumer Cyclical,Auto & Truck Dealerships
232,AOS,A.O. Smith Corp,59.53,72,20.9,,Wide,,Industrials,Specialty Industrial Machinery
233,MKC,McCormick & Co Inc Ordinary Shares (Non Voting),53.75,65,20.9,,Wide,,Consumer Defensive,Packaged Foods
234,WFG,West Fraser Timber Co.Ltd,67.06,81,20.8,,None,,Basic Materials,Lumber & Wood Production
235,KMB,Kimberly-Clark Corp,110.18,133,20.7,,Narrow,,Consumer Defensive,Household & Personal Products
236,DECK,Deckers Outdoor Corp,107.8,130,20.6,,Narrow,,Consumer Cyclical,Footwear & Accessories
237,TEX,Terex Corp,65.61,79,20.4,,Narrow,,Industrials,Farm & Heavy Construction Machinery
238,AZO,AutoZone Inc,3078.98,3700,20.2,,Wide,,Consumer Cyclical,Auto Parts
239,AMRZ,Amrize Ltd Registered Share,49.1,59,20.2,3,Narrow,,Basic Materials,Building Materials
240,BKNG,Booking Holdings Inc,175.8,211,20.0,,Wide,,Consumer Cyclical,Travel Services
241,ELS,Equity Lifestyle Properties Inc,64.98,78,20.0,,None,,Real Estate,REIT - Residential
242,SNPS,Synopsys Inc,433.82,520,19.9,,Wide,,Technology,Software - Infrastructure
243,LHX,L3Harris Technologies Inc,288.69,346,19.9,,Narrow,,Industrials,Aerospace & Defense
244,IFF,International Flavors & Fragrances Inc,75.1,90,19.8,,Narrow,,Basic Materials,Specialty Chemicals
245,PUK,Prudential PLC ADR,28.4,34,19.7,,None,,Financial Services,Insurance - Life
246,DOC,Healthpeak Properties Inc,21.73,26,19.7,,None,,Real Estate,REIT - Healthcare Facilities
247,KVUE,Kenvue Inc,19.23,23,19.6,,Wide,,Consumer Defensive,Household & Personal Products
248,JKHY,Jack Henry & Associates Inc,150.73,180,19.4,,Wide,,Technology,Information Technology Services
249,QGEN,Qiagen NV,41.44,49.47,19.4,,Narrow,,Healthcare,Diagnostics & Research
250,SABR,Sabre Corp,1.76,2.1,19.3,,None,,Technology,Software - Infrastructure
251,BZ,Kanzhun Ltd ADR,14.28,17,19.0,,None,,Communication Services,Internet Content & Information
252,ET,Energy Transfer LP,20.18,24,18.9,,None,,Energy,Oil & Gas Midstream
253,EFX,Equifax Inc,172.61,205,18.8,,Narrow,,Industrials,Consulting Services
254,SYF,Synchrony Financial,73.21,87,18.8,,None,,Financial Services,Credit Services
255,EQT,EQT Corp,49.72,59,18.7,,None,,Energy,Oil & Gas E&P
256,A,Agilent Technologies Inc,134.04,159,18.6,4,Wide,,Healthcare,Diagnostics & Research
257,CHH,Choice Hotels International Inc,108.74,129,18.6,,Narrow,,Consumer Cyclical,Lodging
258,MDLN,Medline Inc Ordinary Shares - Class A,40.58,48,18.3,,Narrow,,Healthcare,Medical Instruments & Supplies
259,NOC,Northrop Grumman Corp,541.82,640,18.1,,Wide,,Industrials,Aerospace & Defense
260,BMY,Bristol-Myers Squibb Co,59.34,70,18.0,,Wide,,Healthcare,Drug Manufacturers - General
261,PCG,PG&E Corp,17.37,20.5,18.0,,None,,Utilities,Utilities - Regulated Electric
262,MRNA,Moderna Inc,67.01,79,17.9,,None,,Healthcare,Biotechnology
263,PLTR,Palantir Technologies Inc Ordinary Shares - Class A,130.04,153,17.7,,Narrow,,Technology,Software - Infrastructure
264,ABEV,Ambev SA ADR,3.06,3.6,17.6,4,Wide,,Consumer Defensive,Beverages - Brewers
265,ALSN,Allison Transmission Holdings Inc,115.98,136,17.3,4,Narrow,,Consumer Cyclical,Auto Parts
266,O,Realty Income Corp,64.17,75,16.9,,None,,Real Estate,REIT - Retail
267,AYI,Acuity Inc,325.36,380,16.8,4,Narrow,,Industrials,Electrical Equipment & Parts
268,NXST,Nexstar Media Group Inc,175.46,205,16.8,,None,,Communication Services,Broadcasting
269,SPOT,Spotify Technology SA,479.84,560,16.7,,Narrow,,Communication Services,Internet Content & Information
270,ONC,BeOne Medicines Ltd ADR,303.96,354,16.5,,None,,Healthcare,Biotechnology
271,CI,The Cigna Group,304.5,354,16.3,,Narrow,,Healthcare,Healthcare Plans
272,CME,CME Group Inc Class A,245.1,285,16.3,,Wide,,Financial Services,Financial Data & Stock Exchanges
273,FOXA,Fox Corp Class A,55.9,65,16.3,,None,,Communication Services,Entertainment
274,LUMN,Lumen Technologies Inc Ordinary Shares,6.45,7.5,16.3,,None,,Communication Services,Telecom Services
275,MPWR,Monolithic Power Systems Inc,1291.38,1500,16.2,,Wide,,Technology,Semiconductors
276,ABNB,Airbnb Inc Ordinary Shares - Class A,146.33,170,16.2,4,Wide,,Consumer Cyclical,Travel Services
277,J,Jacobs Solutions Inc,126.54,147,16.2,,None,,Industrials,Engineering & Construction
278,IT,Gartner Inc,141.31,164,16.1,,None,,Technology,Information Technology Services
279,EXE,Expand Energy Corp Ordinary Shares - New,87.1,101,16.0,,None,,Energy,Oil & Gas E&P
280,NGG,National Grid PLC ADR,83.28,96.5,15.9,,Narrow,,Utilities,Utilities - Regulated Electric
281,GDS,GDS Holdings Ltd ADR,32.8,38,15.9,,None,,Technology,Information Technology Services
282,CF,CF Industries Holdings Inc,120.92,140,15.8,,Narrow,,Basic Materials,Agricultural Inputs
283,BMI,Badger Meter Inc,140.12,162,15.6,,Narrow,,Technology,Scientific & Technical Instruments
284,RIVN,Rivian Automotive Inc Class A,17.31,20,15.5,,None,,Consumer Cyclical,Auto Manufacturers
285,SPGI,S&P Global Inc,437.84,505,15.3,,Wide,,Financial Services,Financial Data & Stock Exchanges
286,OSK,Oshkosh Corp,145.85,168,15.2,,Narrow,,Industrials,Farm & Heavy Construction Machinery
287,MELI,MercadoLibre Inc,1867.3,2150,15.1,,Wide,,Consumer Cyclical,Internet Retail
288,HMC,Honda Motor Co Ltd ADR,27.84,32,14.9,,None,,Consumer Cyclical,Auto Manufacturers
289,MSI,Motorola Solutions Inc,418.06,480,14.8,,Wide,,Technology,Communication Equipment
290,BX,Blackstone Inc,122.04,140,14.7,,Wide,,Financial Services,Asset Management
291,EQR,Equity Residential,69.72,80,14.7,,None,,Real Estate,REIT - Residential
292,UBER,Uber Technologies Inc,74.26,85,14.5,,Narrow,,Technology,Software - Application
293,HRL,Hormel Foods Corp,24.46,28,14.5,,Narrow,,Consumer Defensive,Packaged Foods
294,COR,Cencora Inc,306.13,350,14.3,,Narrow,,Healthcare,Medical Distribution
295,SCHW,Charles Schwab Corp,102.38,117,14.3,,Wide,,Financial Services,Capital Markets
296,ZM,Zoom Communications Inc,91.88,105,14.3,,Narrow,,Technology,Software - Application
297,BLCO,Bausch & Lomb Corp,16.21,18.5,14.1,,Narrow,,Healthcare,Medical Instruments & Supplies
298,TSLA,Tesla Inc,394.76,450,14.0,,Narrow,,Consumer Cyclical,Auto Manufacturers
299,WSO,Watsco Inc Ordinary Shares,393.71,449,14.0,,Narrow,,Industrials,Industrial Distribution
300,UL,Unilever PLC ADR,61.48,70,13.9,,Wide,,Consumer Defensive,Household & Personal Products
301,HCA,HCA Healthcare Inc,390.74,444,13.6,,Narrow,,Healthcare,Medical Care Facilities
302,AVB,AvalonBay Communities Inc,194.53,221,13.6,,None,,Real Estate,REIT - Residential
303,APO,Apollo Global Management Inc,118.83,135,13.6,,Narrow,,Financial Services,Asset Management
304,GGG,Graco Inc,73.92,84,13.6,,Wide,,Industrials,Specialty Industrial Machinery
305,CG,The Carlyle Group Inc,44.14,50,13.3,,Narrow,,Financial Services,Asset Management
306,AMZN,Amazon.com Inc,247.31,280,13.2,3,Wide,,Consumer Cyclical,Internet Retail
307,SHEL,Shell PLC ADR (Representing - Ordinary Shares),83.98,95,13.1,,None,,Energy,Oil & Gas Integrated
308,APP,AppLovin Corp Ordinary Shares - Class A,442.85,500,12.9,,Narrow,,Communication Services,Advertising Agencies
309,ICUI,ICU Medical Inc,157.6,178,12.9,,None,,Healthcare,Medical Instruments & Supplies
310,BIDU,Baidu Inc ADR,113.39,128,12.9,,None,,Communication Services,Internet Content & Information
311,STE,Steris PLC,217.05,244,12.4,,Narrow,,Healthcare,Medical Devices
312,MCK,McKesson Corp,812.28,910,12.0,,Narrow,,Healthcare,Medical Distribution
313,BEKE,KE Holdings Inc ADR,16.07,18,12.0,,Narrow,,Real Estate,Real Estate Services
314,VLTO,Veralto Corp,92.91,104,11.9,,Wide,,Industrials,Pollution & Treatment Controls
315,M,Macy's Inc,22.78,25.5,11.9,,None,,Consumer Cyclical,Department Stores
316,NU,Nu Holdings Ltd Ordinary Shares Class A,13.67,15.3,11.9,,Narrow,,Financial Services,Banks - Regional
317,NWSA,News Corp Class A,27.73,31,11.8,,None,,Communication Services,Entertainment
318,SF,Stifel Financial Corp,75.2,84,11.7,,Narrow,,Financial Services,Capital Markets
319,BLK,BlackRock Inc,1031.56,1150,11.5,,Wide,,Financial Services,Asset Management
320,ELV,Elevance Health Inc,425.17,474,11.5,,Narrow,,Healthcare,Healthcare Plans
321,TRU,TransUnion,76.21,85,11.5,,Narrow,,Financial Services,Financial Data & Stock Exchanges
322,COLD,Americold Realty Trust Inc,15.69,17.5,11.5,5,None,,Real Estate,REIT - Industrial
323,NXPI,NXP Semiconductors NV,278.39,310,11.4,,Wide,,Technology,Semiconductors
324,ELAN,Elanco Animal Health Inc,25.14,28,11.4,,None,,Healthcare,Drug Manufacturers - Specialty & Generic
325,PEN,Penumbra Inc,318.94,355,11.3,,None,,Healthcare,Medical Devices
326,ROL,Rollins Inc,44.92,50,11.3,,Wide,,Consumer Cyclical,Personal Services
327,SQM,Sociedad Quimica Y Minera De Chile SA ADR,71.94,80,11.2,,Narrow,,Basic Materials,Specialty Chemicals
328,SQM,Sociedad Quimica Y Minera De Chile SA ADR,71.94,80,11.2,,Narrow,,Basic Materials,Specialty Chemicals
329,CWK,Cushman & Wakefield Ltd,13.32,14.8,11.1,,None,,Real Estate,Real Estate Services
330,TEL,TE Connectivity PLC Registered Shares,198.18,220,11.0,,Narrow,,Technology,Electronic Components
331,VRSK,Verisk Analytics Inc,193.72,215,11.0,,Wide,,Industrials,Consulting Services
332,WFRD,Weatherford International PLC Ordinary Shares - New,81.1,90,11.0,,None,,Energy,Oil & Gas Equipment & Services
333,GSK,GSK PLC ADR,52.29,58,10.9,,Wide,,Healthcare,Drug Manufacturers - General
334,TTE,TotalEnergies SE,81.21,90,10.8,,None,,Energy,Oil & Gas Integrated
335,TXT,Textron Inc,89.42,99,10.7,,None,,Industrials,Aerospace & Defense
336,PBR,Petroleo Brasileiro SA Petrobras ADR,17.88,19.8,10.7,,None,,Energy,Oil & Gas Integrated
337,ALLY,Ally Financial Inc,45.12,49.9,10.6,3,None,,Financial Services,Credit Services
338,ECL,Ecolab Inc,271.85,300,10.4,,Wide,,Basic Materials,Specialty Chemicals
339,BA,Boeing Co,215.51,238,10.4,,Wide,,Industrials,Aerospace & Defense
340,WPP,WPP PLC ADR,18.86,20.79,10.2,,None,,Communication Services,Advertising Agencies
341,REGN,Regeneron Pharmaceuticals Inc,663.09,730,10.1,,Narrow,,Healthcare,Biotechnology
342,MPLX,MPLX LP Partnership Units,57.21,63,10.1,,Narrow,,Energy,Oil & Gas Midstream
343,COP,ConocoPhillips,112.85,124,9.9,,Narrow,,Energy,Oil & Gas E&P
344,VOD,Vodafone Group PLC ADR,15.47,17,9.9,,None,,Communication Services,Telecom Services
345,RVTY,Revvity Inc,111.11,122,9.8,,None,,Healthcare,Diagnostics & Research
346,FCNCA,First Citizens BancShares Inc Class A,2106.06,2310,9.7,,None,,Financial Services,Banks - Regional
347,NVO,Novo Nordisk AS ADR,49.28,54,9.6,,Wide,,Healthcare,Drug Manufacturers - General
348,TIMB,TIM SA ADR,21.89,24,9.6,,None,,Communication Services,Telecom Services
349,XRAY,Dentsply Sirona Inc,12.78,14,9.5,,None,,Healthcare,Medical Instruments & Supplies
350,FBIN,Fortune Brands Innovations Inc,50.28,55,9.4,,Narrow,,Industrials,Building Products & Equipment
351,FRT,Federal Realty Investment Trust,121.84,133,9.2,,None,,Real Estate,REIT - Retail
352,BC,Brunswick Corp,76.95,84,9.2,,Narrow,,Consumer Cyclical,Recreational Vehicles
353,BAC,Bank of America Corp,59.5,65,9.2,,Wide,,Financial Services,Banks - Diversified
354,PEB,Pebblebrook Hotel Trust,18.32,20,9.2,,None,,Real Estate,REIT - Hotel & Motel
355,HAYW,Hayward Holdings Inc,15.58,17,9.1,,Narrow,,Industrials,Electrical Equipment & Parts
356,QCOM,Qualcomm Inc,183.98,200,8.7,,Narrow,,Technology,Semiconductors
357,EXR,Extra Space Storage Inc,145.32,158,8.7,,None,,Real Estate,REIT - Industrial
358,AZN,AstraZeneca PLC,169.47,184,8.6,,Wide,,Healthcare,Drug Manufacturers - General
359,TDG,TransDigm Group Inc,1235,1340,8.5,,Wide,,Industrials,Aerospace & Defense
360,PCTY,Paylocity Holding Corp,124.5,135,8.4,,None,,Technology,Software - Application
361,SUNB,Sunbelt Rentals Holdings Inc,73.82,80,8.4,,Narrow,,Industrials,Rental & Leasing Services
362,RDY,Dr Reddy's Laboratories Ltd ADR,12.92,14,8.4,,None,,Healthcare,Drug Manufacturers - Specialty & Generic
363,FDS,FactSet Research Systems Inc,263.11,285,8.3,,None,,Financial Services,Financial Data & Stock Exchanges
364,KKR,KKR & Co Inc Ordinary Shares,96.91,105,8.3,,Narrow,,Financial Services,Asset Management
365,MCD,McDonald's Corp,272.61,295,8.2,,Wide,,Consumer Cyclical,Restaurants
366,GM,General Motors Co,76.72,83,8.2,,None,,Consumer Cyclical,Auto Manufacturers
367,DASH,DoorDash Inc Ordinary Shares - Class A,189.57,205,8.1,,Narrow,,Consumer Cyclical,Internet Retail
368,RPRX,Royalty Pharma PLC Class A,56.45,61,8.1,,Narrow,,Healthcare,Biotechnology
369,MRVL,Marvell Technology Inc,217.53,235,8.0,,Narrow,,Technology,Semiconductors
370,XOM,ExxonMobil Holdings Corp,144.51,156,8.0,,Narrow,,Energy,Oil & Gas Integrated
371,ATHM,Autohome Inc ADR,20.37,22,8.0,,None,,Communication Services,Internet Content & Information
372,NWG,NatWest Group PLC ADR,17.5,18.9,8.0,,Narrow,,Financial Services,Banks - Regional
373,MOH,Molina Healthcare Inc,242.88,262,7.9,,Narrow,,Healthcare,Healthcare Plans
374,ARES,Ares Management Corp Ordinary Shares - Class A,120.45,130,7.9,,Narrow,,Financial Services,Asset Management
375,QRVO,Qorvo Inc,84.35,91,7.9,,None,,Technology,Semiconductors
376,ULTA,Ulta Beauty Inc,473.33,510,7.7,,Narrow,,Consumer Cyclical,Specialty Retail
377,DELL,Dell Technologies Inc Ordinary Shares - Class C,427.11,460,7.7,,None,,Technology,Computer Hardware
378,SLB,SLB Ltd,47.36,51,7.7,,Narrow,,Energy,Oil & Gas Equipment & Services
379,ALNY,Alnylam Pharmaceuticals Inc,288.06,310,7.6,3,Narrow,,Healthcare,Biotechnology
380,HRI,Herc Holdings Inc,147.71,159,7.6,,None,,Industrials,Rental & Leasing Services
381,REG,Regency Centers Corp,79.94,86,7.6,,None,,Real Estate,REIT - Retail
382,OWL,Blue Owl Capital Inc Ordinary Shares - Class A,9.29,10,7.6,,Narrow,,Financial Services,Asset Management
383,KIM,Kimco Realty Corp,25.11,27,7.5,,None,,Real Estate,REIT - Retail
384,MANH,Manhattan Associates Inc,158.31,170,7.4,,Narrow,,Technology,Software - Application
385,AEG,Aegon Ltd ADR,8.75,9.4,7.4,3,None,,Financial Services,Insurance - Diversified
386,MICC,The Magnum Ice Cream Co NV,18.46,19.8,7.3,,Wide,,Consumer Defensive,Packaged Foods
387,BAM,Brookfield Asset Management Ltd Ordinary Shares - Class A,46.63,50,7.2,,Narrow,,Financial Services,Asset Management
388,BUD,Anheuser-Busch InBev SA/NV ADR,79.33,85,7.1,5,Wide,,Consumer Defensive,Beverages - Brewers
389,AB,AllianceBernstein Holding LP,37.35,40,7.1,3,None,,Financial Services,Asset Management
390,RNG,RingCentral Inc Class A,42.05,45,7.0,,None,,Technology,Software - Application
391,XYZ,Block Inc Class A,78.72,84,6.7,,Narrow,,Technology,Software - Infrastructure
392,AA,Alcoa Corp,48.72,52,6.7,2,None,,Basic Materials,Aluminum
393,PAG,Penske Automotive Group Inc,193.22,206,6.6,,Narrow,,Consumer Cyclical,Auto & Truck Dealerships
394,RJF,Raymond James Financial Inc,166.98,178,6.6,,Narrow,,Financial Services,Asset Management
395,EIX,Edison International,75.97,81,6.6,,Narrow,,Utilities,Utilities - Regulated Electric
396,ENTG,Entegris Inc,136.27,145,6.4,,Wide,,Technology,Semiconductor Equipment & Materials
397,CARR,Carrier Global Corp Ordinary Shares,68.61,73,6.4,,Narrow,,Industrials,Building Products & Equipment
398,MAS,Masco Corp,76.18,81,6.3,,Wide,,Industrials,Building Products & Equipment
399,HOG,Harley-Davidson Inc,25.39,27,6.3,,Narrow,,Consumer Cyclical,Recreational Vehicles
400,SAH,Sonic Automotive Inc Class A,90.51,96,6.1,,Narrow,,Consumer Cyclical,Auto & Truck Dealerships
401,TTD,The Trade Desk Inc Class A,19.79,21,6.1,,None,,Communication Services,Advertising Agencies
402,TMO,Thermo Fisher Scientific Inc,528.51,560,6.0,,Wide,,Healthcare,Diagnostics & Research
403,LH,Labcorp Holdings Inc,276.68,293,5.9,,Narrow,,Healthcare,Diagnostics & Research
404,RF,Regions Financial Corp,31.07,32.9,5.9,,Narrow,,Financial Services,Banks - Regional
405,VALE,Vale SA ADR,14.18,15,5.8,,None,,Basic Materials,Other Industrial Metals & Mining
406,POR,Portland General Electric Co,53.05,56,5.6,,Narrow,,Utilities,Utilities - Regulated Electric
407,KDP,Keurig Dr Pepper Inc,31.25,33,5.6,,Narrow,,Consumer Defensive,Beverages - Non-Alcoholic
408,COF,Capital One Financial Corp,203.02,214,5.4,,Narrow,,Financial Services,Credit Services
409,CVX,Chevron Corp,182.2,192,5.4,,Narrow,,Energy,Oil & Gas Integrated
410,ROKU,Roku Inc Class A,142.34,150,5.4,,None,,Communication Services,Entertainment
411,PPG,PPG Industries Inc,113.84,120,5.4,,Narrow,,Basic Materials,Specialty Chemicals
412,IP,International Paper Co,37,39,5.4,,None,,Consumer Cyclical,Packaging & Containers
413,BIIB,Biogen Inc,209.03,220,5.2,,Narrow,,Healthcare,Drug Manufacturers - General
414,MRSH,Marsh,181.53,191,5.2,,Narrow,,Financial Services,Insurance Brokers
415,STM,STMicroelectronics NV ADR,68.47,72,5.2,,Narrow,,Technology,Semiconductors
416,IREN,IREN Ltd,38.98,41,5.2,,None,,Financial Services,Capital Markets
417,RACE,Ferrari NV,372.98,392,5.1,,Wide,,Consumer Cyclical,Auto Manufacturers
