rank,ticker,name,close_price,fair_value,upside_pct,star_rating,moat,uncertainty,sector,industry
782,EXPD,Expeditors International of Washington Inc,175.5,126,-28.2,,Wide,,Industrials,Integrated Freight & Logistics
783,FTRE,Fortrea Holdings Inc,17.86,12.8,-28.3,,Narrow,,Healthcare,Biotechnology
784,PH,Parker Hannifin Corp,951.26,680,-28.5,,Narrow,,Industrials,Specialty Industrial Machinery
785,SAIA,Saia Inc,432.06,309,-28.5,,None,,Industrials,Trucking
786,ILMN,Illumina Inc,190.05,135,-29.0,,Narrow,,Healthcare,Diagnostics & Research
787,NRG,NRG Energy Inc,139.48,99,-29.0,,None,,Utilities,Utilities - Independent Power Producers
788,DBX,Dropbox Inc Class A,29.58,21,-29.0,,None,,Technology,Software - Infrastructure
789,CRWD,CrowdStrike Holdings Inc Class A,187.91,133,-29.2,,Wide,,Technology,Software - Infrastructure
790,WMT,Walmart Inc,114.78,81,-29.4,,Wide,,Consumer Defensive,Discount Stores
791,GS,The Goldman Sachs Group Inc,1045.91,730,-30.2,,Wide,,Financial Services,Capital Markets
792,TTWO,Take-Two Interactive Software Inc,244.09,170,-30.4,,Narrow,,Communication Services,Electronic Gaming & Multimedia
793,ARMK,Aramark,58.15,40,-31.2,,None,,Industrials,Specialty Business Services
794,TWLO,Twilio Inc Class A,218.24,150,-31.3,,None,,Technology,Software - Infrastructure
795,ALL,Allstate Corp,256.45,176,-31.4,2,None,,Financial Services,Insurance - Property & Casualty
796,IBKR,Interactive Brokers Group Inc Class A,93.56,64,-31.6,,Wide,,Financial Services,Capital Markets
797,LUV,Southwest Airlines Co,47.92,32.7,-31.8,,None,,Industrials,Airlines
798,SAN,Banco Santander SA ADR,13.66,9.3,-31.9,,Narrow,,Financial Services,Banks - Diversified
799,VMC,Vulcan Materials Co,292.78,198,-32.4,,Narrow,,Basic Materials,Building Materials
800,KLAC,KLA Corp,222.25,150,-32.5,,Wide,,Technology,Semiconductor Equipment & Materials
801,STT,State Street Corp,178.17,120,-32.6,,Wide,,Financial Services,Asset Management
802,TBLA,Taboola.com Ltd,5.57,3.75,-32.7,,None,,Communication Services,Internet Content & Information
803,CHRW,C.H. Robinson Worldwide Inc,196.5,132,-32.8,,Wide,,Industrials,Integrated Freight & Logistics
804,FTNT,Fortinet Inc,160.62,108,-32.8,,Wide,,Technology,Software - Infrastructure
805,HIMS,Hims & Hers Health Inc Ordinary Shares - Class A,34.38,23,-33.1,,None,,Healthcare,Drug Manufacturers - Specialty & Generic
806,LRCX,Lam Research Corp,329.92,220,-33.3,,Wide,,Technology,Semiconductor Equipment & Materials
807,MTZ,MasTec Inc,360.21,240,-33.4,,None,,Industrials,Engineering & Construction
808,ODFL,Old Dominion Freight Line Inc Ordinary Shares,232.9,155,-33.4,,Narrow,,Industrials,Trucking
809,DVA,DaVita Inc,235.58,156,-33.8,,Narrow,,Healthcare,Medical Care Facilities
810,MNST,Monster Beverage Corp,97.07,64,-34.1,,Narrow,,Consumer Defensive,Beverages - Non-Alcoholic
811,TXRH,Texas Roadhouse Inc,192.03,125,-34.9,,Narrow,,Consumer Cyclical,Restaurants
812,TPR,Tapestry Inc,136.13,88,-35.4,,Narrow,,Consumer Cyclical,Luxury Goods
813,VLO,Valero Energy Corp,295.79,190,-35.8,,Narrow,,Energy,Oil & Gas Refining & Marketing
814,NXT,Nextpower Inc Class A,99.67,64,-35.8,,None,,Technology,Solar
815,WSM,Williams-Sonoma Inc,216.65,138,-36.3,,None,,Consumer Cyclical,Specialty Retail
816,ARM,ARM Holdings PLC ADR,298.99,190,-36.5,,Wide,,Technology,Semiconductors
817,PFGC,Performance Food Group Co,113.31,72,-36.5,,None,,Consumer Defensive,Food Distribution
818,RL,Ralph Lauren Corp Class A,374.49,235,-37.2,,Narrow,,Consumer Cyclical,Apparel Manufacturing
819,MPC,Marathon Petroleum Corp,296.88,186,-37.3,,Narrow,,Energy,Oil & Gas Refining & Marketing
820,VST,Vistra Corp,158.12,99,-37.4,,None,,Utilities,Utilities - Independent Power Producers
821,INCY,Incyte Corp,114.23,71,-37.8,,None,,Healthcare,Biotechnology
822,MEDP,Medpace Holdings Inc,530.19,329,-37.9,,Narrow,,Healthcare,Diagnostics & Research
823,PWR,Quanta Services Inc,646.7,400,-38.1,,None,,Industrials,Engineering & Construction
824,VRNS,Varonis Systems Inc,45.38,28,-38.3,,None,,Technology,Software - Infrastructure
825,AAL,American Airlines Group Inc,16.31,10,-38.7,3,None,,Industrials,Airlines
826,ROK,Rockwell Automation Inc,460.45,282,-38.8,,Wide,,Industrials,Specialty Industrial Machinery
827,XPO,XPO Inc,209.45,128,-38.9,,None,,Industrials,Trucking
828,CIEN,Ciena Corp,445.44,270,-39.4,,Narrow,,Technology,Communication Equipment
829,AEM,Agnico Eagle Mines Ltd,143.51,87,-39.4,1,None,,Basic Materials,Gold
830,JBHT,JB Hunt Transport Services Inc,283,171,-39.6,,Narrow,,Industrials,Integrated Freight & Logistics
831,USFD,US Foods Holding Corp,101.31,61,-39.8,,Narrow,,Consumer Defensive,Food Distribution
832,TECK,Teck Resources Ltd Class B (Sub Voting),58.47,35,-40.1,,None,,Basic Materials,Other Industrial Metals & Mining
833,SNDK,SanDisk Corp Ordinary Shares,1673.97,1000,-40.3,,None,,Technology,Computer Hardware
834,CRL,Charles River Laboratories International Inc,229.75,135,-41.2,,None,,Healthcare,Diagnostics & Research
835,TENB,Tenable Holdings Inc,39.2,23,-41.3,,None,,Technology,Software - Infrastructure
836,EBAY,eBay Inc,115.09,67,-41.8,,Narrow,,Consumer Cyclical,Internet Retail
837,DAL,Delta Air Lines Inc,86.19,50,-42.0,,None,,Industrials,Airlines
838,NBIS,Nebius Group NV Shs Class-A-,210.51,120,-43.0,,None,,Communication Services,Internet Content & Information
839,GH,Guardant Health Inc,158.4,90,-43.2,,None,,Healthcare,Diagnostics & Research
840,UNIT,Uniti Group Inc,11.04,6,-45.7,,None,,Real Estate,REIT - Specialty
841,MSM,MSC Industrial Direct Co Inc Class A,123.99,67,-46.0,,Narrow,,Industrials,Industrial Distribution
842,FCX,Freeport-McMoRan Inc,59.97,31,-48.3,,None,,Basic Materials,Copper
843,BB,BlackBerry Ltd,10.71,5.2,-51.4,,None,,Technology,Software - Infrastructure
844,HOOD,Robinhood Markets Inc Class A,109.86,52,-52.7,,Narrow,,Financial Services,Capital Markets
845,SPCX,Space Exploration Technologies Corp Class A,139.14,62,-55.4,,Narrow,,Industrials,Aerospace & Defense
846,IQ,iQIYI Inc ADR,1.13,0.5,-55.8,,None,,Communication Services,Entertainment
847,KGC,Kinross Gold Corp,23.48,9.3,-60.4,,None,,Basic Materials,Gold
848,BE,Bloom Energy Corp Class A,233.49,70,-70.0,,None,,Industrials,Electrical Equipment & Parts
